Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
327/40,للحيطان آذان وللشوارع ألسنة,"النشاشيبي, ناصر الدين",لندن,رياض الرئيس للكتب والنشر,1989,285,العلاقات السياسية الدولية,18475
343.2/03,النظرية العامة للقانون الجنائي المغربي. الجزء الأول: في الجريمة والمسؤولية الجنائية,"النصراوي, سامي",الرباط,مكتبة المعارف,1983,337,القانون الجنائي,18476
82-31/19,صدى الصمت,"النصراوي, سامي",الرباط,شركة الهلال العربية للطباعة والنشر,1987,102,الرواية,18477
619/16,وقائع ندوة مرض دات الرئة الساري في البقر والمعز والغنم والمرض التنفسي المزمن في الطيور الداجنة في الوطن العربي. الخرطوم 4 - 7 تشرين الأول أكتوبر 1982,"النصري حمزة, محمد (إعداد)",بغداد,إتحاد مجالس البحث العلمي. الأمانة العامة,1983,144,الطب البيطري,18478
35_64/01,الهلال العربية للطباعة والنشر,النصوص الادارية: الوظيفة العمومية والاصلاح الاداري - تشريعات وقوانين تنظيمية,الرباط,N/A,1987,357,القانون الاداري,18479
621.039/01,هيئة الطاقة الذرية,النظائر المشعة في الحياة اليومية,دمشق,N/A,1985,79,تقنيات استعمال الطاقة الذرية,18480
964/249,الروض العطر الانفاس بأخبار الصالحين من أهل فاس المنسوب لابي عبد الله محمد بن عيشون الشراط,"النظام, زهراء",الرباط,منشورات كلية الآداب والعلوم الانسانية,1997,425,تاربخ المغرب,18481
624/02,دار جون وايلي وأبنائه,النظم الادارية لهندسة التشييد,نيويورك,N/A,1982,316,الهندسة المدنية,18482
531/05,الميكانيك النظري للنقطةالمادية,"النعسان, ابراهيم",سوريا,مديرية الكتب والمطبوعات,1984,461,الميكانيك,18483
37:297/13,المناهج وطرق التعليم عند القابسي وابن خلدون,"النعمي, عبد الله أمين",ليبيا,مركز جهاد اللبيين للدراسات التاريخية,1980,211,تاريخ التربية والتعليم الإسلامي,18484
37:297/17 ج2,الدارس في تاريخ المدارس . ج2,"النعيمي الدمشقي, عبد القادر بن محمد",بيروت,دار الكتاب الجديدة,1988,832,علوم التربية والإسلام,18485
634.1/06,انتاج الفاكهة النفضية,"النعيمي, جبار حسن",بغداد,جامعة البصرة,1980,255,زراعة الفواكه,18486
341.013/01,مفهوم التوازن الاستراتيجي من منظور تاريخي,"النفوري, أمين",بيروت,معهد الانماء العربي,1981,93,القانون الدولي,18487
82_569.6/02,محمود درويش : شاعر الأرض المحتلة,"النقاش, رجاء",بيروت,دار الهلال,1971,319,الأدب الفلسطيني,18488
82-1_حد/16,صفحات مجهولة في الأدب العربي المعاصر,"النقاش, رجاء",بيروت,المؤسسة العربية للدراسات والنشر,1976,335,الأدب الحديث,18489
930.23/03,وكالة المطبوعات,النقد التاريخي,الكويت,N/A,1977,309,النقد التاريخي,18490
93:297/123,الدرهم الإسلامي: الجزء الأول: الدرهم الإسلامي المضروب على الطراز الساساني,"النقشبندي, محمود ناصر السيد",بغداد,مطبوعات المجمع العلمي العراقي,1970,245,تاريخ الإسلام,18491
347.51/01,النظرية العامة للمسؤولية الناشئة عن فعل الأشياء في مبادئها القانونية وأوجهها العملية,"النقيب, عاطف",باريس,منشورات عويدات,1980,428,القانون المدني,18492
371/36,الوضع التعليمي للطفل في دول الخليج العربي في ضوء الإعلان العالمي لحقوق الطفل: دراسة تحليلية تقويمية,"النكلاوي, أحمد محمد منصور",الرياض,مكتب التربية العربي لدول الخليج,1986,103,التربية والتعليم,18493
297.821/02,الشيعة - المهدي - الدروز تاريخ ووثائق,"النمر, عبد المنعم",عابدين,مكتب التراث الإسلامي,1988,371,الشيعة,18494
297.2/105 ج1,التمهيد لما في الموطأ من المعاني والأسانيد,"النمري القرطبي, أبو عمر يوسف بن عبد الله",المحمدية,مطبعة فضالة,1982,456,الحديث,18495
82-16/01,اختيار من كتاب الممتنع في علم الشعر وعلمه,"النهشلي, عبد الكريم",تونس,الدار العربية للكتاب,1978,655,الأدب الوصفي,18520
008/15,البيان حول وضعية الكتاب والفنانين والمثقفين,"النهيري, مصطفى",الدار البيضاء,دار الطباعة الحديثة,N/A,209,الثقافة,18521
008/21,المثقفون والأنثى في الحضارة,"النهيري, مصطفى",الدار البيضاء,دار الكتاب,1975,167,الثقافة,18522
297.4/67,منشورات كليةالآداب والعلوم الانسانية,النوازل الفقهية وأثرها في الفتوى والاجتهاد,عين الشق,N/A,2001,335,الفقه والشريعة,18523
327/08,العلاقات الدولية والنظم القضائية في الشريعة الاسلامية,"النواوي, عبد الخالق",بيروت,دار الكتاب العربي,1974,342,العلاقات الدولية,18524
930.26/02,مجتمعات الاشتراكية الطبيعية,"النور, اسامة عبد الرحمن",مدريد,أورينتال,1986,296,علم الآثار,18525
3/27,الحضارة والشخصية,"النوري, قيس",بغداد,دار الكتب للطباعة والنشر,1981,208,العلوم الاجتماعية,18526
398.2/04,الأساطير وعلم الأجناس,"النوري, قيس",بغداد,دار الكتب,1981,216,الأسطورة,18527
297.2/90,المجموع: شرح المهذب,"النووي, أبو زكريا محي الدين",القاهرة,شركة العلماء,N/A,556,الحديث,18528
 297.2/90,المجموع : شرح المهذب. الجزء الثالث,"النووي, أبو زكريا محي الدين بن شرف",القاهرة,شركة العلماء,N/A,556,الحديث,18529
297.2/88,المجموع : شرح المهذب. الجزء الأول,"النووي, أبو زكريا محي الدين بن شرف",القاهرة,شركة العلماء,N/A,537,الحديث,18530
297.2/89,المجموع : شرح المهذب. الجزء التاني,"النووي, أبو زكريا محي الدين بن شرف",القاهرة,شركة العلماء,N/A,618,الحديث,18531
297.2/91,المجموع : شرح المهذب. الجزء الرابع,"النووي, أبو زكريا محي الدين بن شرف",القاهرة,شركة العلماء,N/A,684,الحديث,18532
297.2/92,المجموع : شرح المهذب. الجزء الخامس,"النووي, أبو زكريا محي الدين بن شرف",القاهرة,شركة العلماء,N/A,618,الحديث,18533
297.2/93,المجموع : شرح المهذب. الجزء السادس,"النووي, أبو زكريا محي الدين بن شرف",القاهرة,شركة العلماء,N/A,571,الحديث,18534
297.2/94,المجموع : شرح المهذب. الجزء السابع,"النووي, أبو زكريا محي الدين بن شرف",القاهرة,شركة العلماء,N/A,536,الحديث,18535
297.2/95,المجموع : شرح المهذب. الجزء الثامن,"النووي, أبو زكريا محي الدين بن شرف",القاهرة,شركة العلماء,N/A,514,الحديث,18536
297.2/96,المجموع : شرح المهذب. الجزء التاسع,"النووي, أبو زكريا محي الدين بن شرف",القاهرة,شركة العلماء,N/A,436,الحديث,18537
297.2/97,تكملة المجموع : شرح المهذب. الجزء العاشر,"النووي, أبو زكريا محي الدين بن شرف",القاهرة,شركة العلماء,N/A,484,الحديث,18538
297.2/98,تكملة المجموع : شرح المهذب. الجزء الحادي عشر,"النووي, أبو زكريا محي الدين بن شرف",القاهرة,شركة العلماء,N/A,520,الحديث,18539
297.2/99,تكملة المجموع : شرح المهذب. الجزء التاني عشر,"النووي, أبو زكريا محي الدين بن شرف",القاهرة,شركة العلماء,N/A,384,الحديث,18540
297.2/78,رياض الصالحين من كلام سيد المرسلين,"النووي, أبو زكريا يحيى بن صرف",بيروت,دار مكتبة الحياة,1986,625,الحديث,18541
297.2/79 ج1,منهل الواردين شرح رياض الصالحين,"النووي, أبو زكريا يحيى بن صرف",بيروت,دار العلم للملايين,1982,495,الحديث,18542
297.24/13,الأذكار المنتخبة من كلام سيد الأبرار (ص),"النووي, محي الدين أبو زكريا يحيى بن شرف",بيروت,المكتبة العلمية,1979,376,الحديث,18544
297.212/01,حديث مسلم. الجزء الأول والثاني,"النووي, محيي الدين أبو زكريا يحيى",بيروت,دار إحياء التراث العربي,1972,488,حديث مسلم,18545
297.212/02,صحيح مسلم. الجزء الثالث والرابع,"النووي, محيي الدين أبو زكريا يحيى",بيروث,دار إحياء التراث العربي,1972,484,حديث مسلم,18546
297.212/03,صحيح مسلم. الجزء الخامس والسادس,"النووي, محيي الدين أبو زكريا يحيى",بيروث,دار إحياء التراث العربي,1969,480,حديث مسلم,18547
297.212/04,صحيح مسلم. الجزء السابع والثامن,"النووي, محيي الدين أبو زكريا يحيى",بيروت,دار إحياء التراث العربي,1969,480,حديث مسلم,18548
297.212/05,صحيح مسلم. الجزء التاسع والعاشر,"النووي, محيي الدين أبو زكريا يحيى",بيروت,دار إحياء التراث العربي,1969,484,حديث مسلم,18549
297.212/06,صحيح مسلم. الجزء الحادي عشر والثاني عشر,"النووي, محيي الدين أبو زكريا يحيى",بيروت,دار إحياء التراث العربي,1972,474,حديث مسلم,18550
297.212/07,صحيح مسلم. الجزء الثالث عشر والرابع عشر,"النووي, محيي الدين أبو زكريا يحيى",بيروت,دار إحياء التراث العربي,1972,476,حديث مسلم,18551
297.212/09,صحيح مسلم. الجزء السابع عشر والثامن عشر,"النووي, محيي الدين أبو زكريا يحيى",بيروت,دار إحياء التراث العربي,1972,446,حديث مسلم,18552
577.1/15,صحيح مسلم. الجزء الخامس عشر والسادس عشر,"النووي, محيي الدين أبو زكريا يحيى",بيروت,دار إحياء التراث العربي,1972,452,حديث مسلم,18553
946.81/22,تاريخ المغرب الاسلامي في العصر الوسيط من كتاب نهاية الأرب في فنون الأدب,"النويري, أحمد بن عبد الوهاب",البيضاء,دار النشر المغربية,1984,505,تاريخ الأندلس,18554
82_091/01,نهاية الارب في فنون الأدب,"النويري, شهاب الدين أحمد بن عبد الوهاب",القاهرة,وزارة الثقافة والإرشاد القومي,N/A,1162,تاريخ الأدب العربي,18555
1_927/21,نحو ثورة الفكر الديني,"النويهي, محمد",بيروت,دار الأداب,1983,183,فلسفة: الفكر العربي الحديث,18560
82-1_عب/17,شخصية بشار,"النويهي, محمد",بيروت,دار الفكر,1971,283,الأدب العباسي,18561
82-4/25,قضية الشعر الجديد,"النويهي, محمد",N/A,دار الفكر,1971,531,دراسة وأبحاث معاصرة,18562
54/22,الكيمياء العامة,النيال محمد غسان,حلب,مديرية الكتب والمطبوعات الجامعية,1990,180,الكيمياء,18563
54/23,الكيمياء العامة,"النيال, محمد غسان",حلب,مديرية الكتب والمطبوعات,1989,400,الكيمياء,18564
091:82/03,منثور المنظوم للبهائي,"النيرماني, أبو سعد محمد بن علي",فرانكفورت,معهد تاريخ العلوم العربية والاسلامية,1984,335,مخطوطات: الأدب,18565
297.2/84,المستدرك على الصحيحين في الحديث وبديله تلخيص المستدرك للحفاظ الذهبي. الجزء الأول,"النيسابوري, أبو عبد الله الحاكم",بيروت,دار الفكر,1978,575,الحديث,18566
297.2/85,المستدرك على الصحيحين في الحديث وبديله تلخيص المستدرك للحفاظ الذهبي. الجزء التاني,"النيسابوري, أبو عبد الله الحاكم",بيروت,دار الفكر,1978,649,الحديث,18567
297.2/86,المستدرك على الصحيحين في الحديث وبديله تلخيص المستدرك للحفاظ الذهبي. الجزء الثالث,"النيسابوري, أبو عبد الله الحاكم",بيروت,دار الفكر,1978,674,الحديث,18568
297.2/87,المستدرك على الصحيحين في الحديث وبديله تلخيص المستدرك للحفاظ الذهبي. الجزء الرابع,"النيسابوري, أبو عبد الله الحاكم",بيروت,دار الفكر,1978,636,الحديث,18569
297.2/05,كتاب معرفة علوم الحديث,"النيسابوري, أبو عبد الله محمد بن عبد الله الحافظ",بيروت,المكتب التجاري للطباعة والتوزيع والنشر,N/A,266,الحديث,18570
297.2/74,معرفة علوم الحديث,"النيسابوري, أبو عبد الله محمد بن عبد الله الحافظ",بيروت,دار الآفاق الجديدة,1979,261,الحديث,18571
801/68,كتاب فقه اللغة وسر العربية,"النيسابوري, أبو منصور الثعالبي",بيروت,دار الكتب العلمية,N/A,432,فقه اللغة,18572
82_55/06,منطق الطير,"النيسابوري, فريد الدين العطار",بيروت,دار الأندلس,1984,449,الأدب الفارسي,18573
