Cote,Titre,Auteur,Lieu,Edition,Annee,Nb pages,Matiere,Inventaire
301.16/02,أثر التفكك العائلي في جنوح الاحداث,"عبد الأميرالياسين, جعفر",بيروت,دار عالم المعرفة,1981,352,علم الاجتماع الأسري,20969
341.5/08,الجنسية في قوانين دول المغرب العربي الكبير,"عبد الباقي, ابراهيم",تونس,معهد البحوث والدراسات العربية,1971,861,القانون الدولي الخاص,20970
396/35,صورة المرأة المصرية: دراسة في تحليل مضمون بعض البرامج الإ ذاعية,"عبد الباقي, سلوى محمد",بغداد,اللجنة الإقتصادية و الإجتماعية لغربي آسيا,1985,53,المرأة,20971
03:297/01,المعجم المفهرس لألفاظ القرآن الكريم,"عبد الباقي, محمد فؤاد",بيروت,دار إحياء التراث العربي,1945,781,المعجم الإسلامي,20972
800.1/01,التركيب اللغوي للأدب: بحث في فلسفة اللغة والأستطيقا,"عبد البديع, لطفي",القاهرة,مكتبة النهضة المصرية,1970,167,فلسفة اللغة,20973
801.56/77,تاج الدين محمد بن محمد بن أحمد الإسفرايني ومنهجه في درس النحو,"عبد الجليل, محمد بدري",بيروت,دار النهضة العربية للطباعة والنشر,1984,129,النحو العربي,20974
541.1/01,الكيمياء الفيزياوية: مبادىء سرعة التفاعلات الكيمياوية,"عبد الحسين سعيد, علي",العراق,مطبعة جامعة البصرة,1980,295,الكيمياء الفيزيائية,20975
63/02,الإحصاء الزراعي,"عبد الحسين, خلف",بغداد,وزارة التعليم العالي والبحث العلمي,1980,175,الزراعة,20976
74/01,الرسم الهندسي,"عبد الحسين, عبد الرسول",بغداد,الجامعة التكنولوجية,1982,307,الرسم,20977
297.81/15,موقف أئمة الحركة السلفية من التصوف والصوفية,"عبد الحق المكي, عبد الحفيظ بن ملك",N/A,دار السلام,1988,287,التصوف: موقف السلفية,20978
297.81/16,الكتابة والتجربة الصوفية: نمودج محيي الدين بن عربي,"عبد الحق, منصف",الرباط,منشورات عكاظ,1988,530,التصوف,20979
51/02,الرياضيات للمهندسين. التحليل الرياضي,"عبد الحق, وليد",دمشق,مطبعة دار الكتاب,1991,148,الرياضيات,20980
82-91/12,السير والملاحم الشعبية العربية,"عبد الحكيم, شوقي",بيروت,دار الحداثة,1984,262,الأدب الشعبي,20981
297.914/17,الرؤية الإسلامية لإعلام الطفل,"عبد الحليم, محي الدين",الرباط,إيسيسكو,1997,116,الإسلام وعلوم التربية,20982
341/10,العلاقات الدولية: مقدمة لدراسة القانون الدولي العام,"عبد الحميد, سامي",بيروت,الدار الجامعية للطباعة والنشر,N/A,494,القانون الدولي,20983
93_927/37,في تاريخ العرب قبل الاسلام,"عبد الحميد, سعد زغلول",بيروت,دار النهضة العربية,1976,428,تاريخ العرب,20984
615/18,المخدرات وأثارها السيئة من الناحية العلمية,"عبد الحميد, شاكر",الرياض,مكتب التربية العربي لدول الخليج,1993,94,الصيدلة,20985
141.32/04,الوجودية و واجهات الصهيونية ورسائل أخرى,"عبد الحميد, محسن",الدار البيضاء,دار الفرقان للنشر الحديث,N/A,23,الفلسفة الوجودية,20986
297.882/02,حقيقة البابية والبهائية,"عبد الحميد, محسن",دمشق,المكتب الإسلامي,1975,266,البهائية,20987
297/120,المذهبية الإسلامية والتغيير الحضاري,"عبد الحميد, محسن",قطر,رئاسة المحاكم الشرعية والشؤون الدينية,1984,150,الإسلام,20988
930.25/04,جوامع المهمات في أمور الرقيبات,"عبد الحي, محمد سالم بن لحبيب بن الحسين",الدار البيضاء,النجاح الجديدة,1992,156,المصادر والوثائق,20989
913_26/02,جغرافية حوض البحر الأبيض المتوسط,"عبد الخالق, أحمد فوزي مصطفى",الرباط,دار الكتب العربية,1963,336,جغرافية البحر والمحيطات,20990
338.984/07,تطور نظام موازنة التخطيط والبرامج خلال الفترة من 1961/1973,"عبد الخالق, أنور",N/A,مركز البحوث الادارية,1978,62,التخطيط الاقتصادي,20991
37.014.5/02,التخطيط التربوي: أصوله وأساليبه الفنية,"عبد الدائم, عبد الله",بيروت,دار العلم للملايين,1977,749,التربية والتعليم: التخطيط التربوي,20992
37.014.5/13,مراجعة استراتيجية تطوير التربية العربية,"عبد الدائم, عبد الله",تونس,المنظمة العربية للتربية والثقافة والعلوم,1995,200,التخطيط التربوي,20993
37.014/02,التربية التجريبية والبحث التربوي,"عبد الدائم, عبد الله",بيروت,دار العلم للملايين,1981,464,التربية والتعليم: البحث التربوي,20994
37/04,الثورة التكنولوجية في التربية العربية,"عبد الدائم, عبد الله",بيروت,دار العلم للملايين,1978,327,التربية والتعليم,20995
37_091/05,التربية عبر التاريخ من العصور القديمة حتى أوائل القرن العشرين,"عبد الدائم, عبد الله",بيروت,دار العلم للملايين,1978,662,تاريخ التربية,20997
37_927/01,التربية والعمل العربي المشترك في سبيل تربية عربية أصيلة متكاملة,"عبد الدائم, عبد الله",بيروت,دار العلم للملايين,1988,220,التربية والتعليم,20998
930.2:003/01,التاريخ والأسطورة: العراك الثقافي في المنطقة العربية قديما نقد وبناءات تصورية,"عبد الرحمان, عبد الهادي",بيروت,دار الطليعة للطباعة والنشر,1994,167,الكتابة كعلم مساعد للتاريخ,20999
396/34,صورة المرأة العربية في الصحف والعجلات العربية,"عبد الرحمان, عواطف",بغداد,اللجنة الإقتصادية و الإجتماعية لغربي آسيا,1985,79,المرأة,21000
101.9/07,الكندي: فلسفة - منتخبات -,"عبد الرحمن مرحبا, محمد",بيروت,منشورات عويدات,1985,224,شخصيات فلسفية: الكندي,21001
325.3/04,المنظمة الصهيونية العالمية ( 1882 - 1982 ),"عبد الرحمن, أسعد",بيروت,المؤسسة العربية للدراسات والنشر,1985,267,السياسة الاستعمارية,21002
37/36,مستخلصات تربوية لرسائل الدكتوراه والماجستير,"عبد الرحمن, أمل",بغداد,الجمهورية العراقية وزارة التربية,1983,81,التربية والتعليم,21003
371.11/06,دليل مراكز البحت التربوي في الوطن العربي,"عبد الرحمن, أمل",N/A,مركز البحوث والدراسات التربوية,1990,95,الإدارة التربوية,21004
501_091/01,دراسات في تاريخ العلوم عند العرب,"عبد الرحمن, حكمت نجيب",لبنان,جامعة الموصل,1985,434,تاريخ العلوم,21005
297.15/20,القرآن وقضايا الإنسان,"عبد الرحمن, عائشة بنت الشاطئ",بيروت,دار العلم للملايين,1978,448,القرآن: دراسات,21007
297.6/08,مع المصطفى في عصر المبعث,"عبد الرحمن, عائشة بنت الشاطئ",مصر,دار المعارف,1971,240,السيرة النبوية,21008
297.7/20,تراجم سيدات بنت النبوة,"عبد الرحمن, عائشة بنت الشاطئ",بيروت,دار الكتاب العربي,1967,967,تراجم وأعلام,21009
297.7/21,سكينة بنت الحسين,"عبد الرحمن, عائشة بنت الشاطئ",بيروت,دار الكتاب العربي,1979,244,تراجم وأعلام,21010
297.7/22,أم البنين,"عبد الرحمن, عائشة بنت الشاطئ",بيروت,دار الكتاب العربي,1979,174,تراجم وأعلام,21011
297.7/23,عقيلة بني هاشم : زينب بنت الزهراء بطلة كربلاء,"عبد الرحمن, عائشة بنت الشاطئ",بيروت,دار الكتاب العربي,1972,202,تراجم وأعلام,21012
297.7/24,بنات النبي,"عبد الرحمن, عائشة بنت الشاطئ",بيروت,دار الكتاب العربي,1983,219,تراجم وأعلام,21013
297/128,الشخصية الإسلامية : دراسة قرآنية,"عبد الرحمن, عائشة بنت الشاطئ",بيروت - لبنان,دار العلم للملايين,1977,232,الإسلام,21014
82.091/15,تراثنا بين ماض وحاضر,"عبد الرحمن, عائشة بنت الشاطئ",القاهرة,دار المعارف,1970,208,دراسة أدبية,21015
82-1_عب/18,مع أبي العلاء في رحلة حياته,"عبد الرحمن, عائشة بنت الشاطئ",بيروت,دار الكتاب العربي,1976,319,الأدب العباسي,21016
82-6/08,"رسائلة الغفران لأبي العلاء المعري, ومعها نص محقق من ""رسائلة ابي القارح","عبد الرحمن, عائشة بنت الشاطئ",بيروت,دار المعارف,1977,663,الرسائل,21017
019/05 ج1,فهرست المطبوعات العراقية. 1856 - 1977,"عبد الرحمن, عبد الجبار",العراق,وزارة الثقافة والفنون,1972,675,فهارس,21018
82-1_جا/04,الشعر وأيام العرب في العصر الجاهلي,"عبد الرحمن, عفيف",بيروت,دار الأندلس,1984,642,الأدب الجاهلي,21019
82-1_جا/21,مكتبة العصر الجاهلي وأدبه,"عبد الرحمن, عفيف",بيروت,دار الاندلس,1984,164,الادب الجاهلي,21020
07/03,الصحافة العربية في الجزائر: دراسة تحليلية لصحافة الثورة الجزائرية 1945 -1962,"عبد الرحمن, عواطف",القاهرة,دار المأمون,1978,219,الصحافة,21021
07/24,دراسات في الصحافة العربية المعاصرة,"عبد الرحمن, عواطف",بيروت,دار الفارابي,1989,266,الصحافة,21022
82-1/90,قصيدة غرام عراقية,"عبد الرحمن, فالح حسن",لندن,رياض الرئس للكتب والنشر,1988,111,ديوان شعري,21023
37/62,قواعد التربية والتدريس في الحضانة ورياض الاطفال,"عبد الرحيم, عبد المجيد",القاهرة,مكتبة الانجلو المصرية,1985,300,التربية والتعليم: رياض الأطفال,21024
792/18,طرق تدريس التمثيل,"عبد الرزاق, أسعد",بغداد,مؤسسة دار الكتاب للطباعة والنشر,1980,186,المسرح,21025
297.432.5/05,الإسلام وأصول الحكم,"عبد الرزاق, علي",بيروت,المؤسسة العربية,1972,192,الخلافة والإمامة,21026
964/18,الخوارج في بلاد المغرب حتى منتصف القرن الرابع الهجري,"عبد الرزاق, محمود اسماعيل",البيضاء,دار الثقافة,1976,338,تاريخ المغرب,21027
331_536.8/01,الوجيز في قانون العمل الكويتي,"عبد الرضا, عبد الرسول",الكويت,جامعة الكويت,1978,230,القانون الإجتماعي,21028
940.5/01,أحداث القرن العشرون منذ 1919,"عبد الساتر, لبيب",بيروت,دار المشرق,1982,265,تاريخ أوروبا منذ 1919,21030
93/06,التاريخ والمؤرخون العراقيون في العصر العثماني,"عبد السلام رؤوف, عماد",بغداد,دار الوسط للدراسات والنشر والتوزيع,1983,356,تاريخ,21031
91/16,أشكال الارض علم أشكال الأرض,"عبد السلام, عادل",دمشق,N/A,1993,595,الجغرافية,21032
911/11,جغرافية سورية العامة,"عبد السلام, عادل",دمشق,مطبعة الاتحاد,1990,458,الجغرافية العامة,21033
913_26/04,جغرافية سورية الاقليمية,"عبد السلام, عادل",دمشق,مطبعة الروضة,1983,458,الجغرافية الاقليمية للبحار والمحيطات,21034
915_569.1/01,الاقاليم الجغرافية السورية,"عبد السلام, عادل",دمشق,N/A,1990,N/A,جغرافية آسيا: الاقاليم السورية,21035
001.892/01,التنمية والتقدم العلمي في العالم الثالث,"عبد السلام, محمد",دمشق,دار السلام للترجمة والنشر,1989,288,عموميات: التقدم العلمي,21036
801.56/61,الأساليب الإنشائية في النحو العربي,"عبد السلام, محمد هارون",لبنان,N/A,1985,230,النحو العربي,21037
82-1/54,ديوان صلاح عبد الصبور. المجلد الأول والتاني,"عبد الصبور, صلاح",بيروت,دار العودة,N/A,878,دواوين شعري,21038
82-1/55 ج3,ديوان صلاح عبد الصبور. المجلد التالث,"عبد الصبور, صلاح",بيروت,دار العودة,1977,511,ديوان شعري,21039
962/19,قصة الضمير المصري الحديث بين الإسلام والعروبة والتغريب,"عبد الصبور, صلاح",بيروت,منشورات اقرأ,N/A,169,تاريخ مصر,21040
323.27_569.6/01,أيام الحجارة,"عبد الصمد, ندى",بيروت,دار الفرابي,1989,419,الثورات,21041
336.126/34,المذخل المعاصر في المحاسبة الإدارية,"عبد العال, أحمد رجب",بيروت,الدار الجامعية,1982,581,المحاسبة العمومية,21042
37:297/11,فن التعليم عند بدر الدين بن جماعة,"عبد العال, حسن ابراهيم",الرياض,مكتب التربية العربي لدول الخليج,1985,255,تاريخ التربية والتعليم الإسلامي,21043
03:80/02,معجم شمال المغرب تطوان وماحولها,"عبد العال, عبد المنعم سيد",القاهرة,دار الكتاب العربي,N/A,355,المعجم اللغوي,21044
331.2/01,مشاكل سياسة الاجور في الدول النامية,"عبد العزيز محمد, صلاح الدين",القاهرة,المنظمة العربية للعلوم الإدارية,1977,146,القانون الاجتماعي,21045
35.08/03,تقييم المدخلات والمخرجات في إدارة الافراد,"عبد العزيز محمد, صلاح الدين",N/A,سلسلة الفكر الاداري المعاصر,1977,181,القانون الاداري: الافراد,21046
371/09,التربية وطرق التدريس. الجزء الثاني,"عبد العزيز, صالح",القاهرة,دار المعارف,1978,464,مناهج وطرق التدريس,21047
371/10,"التربية وطرق التدريس. الجزء الثالث: التربية الحديثة: مادتها, مبادئها, تطبيقاتها العملية","عبد العزيز, صالح",القاهرة,دار المعارف,1976,438,مناهج وطرق التدريس,21048
35/65,مداخل جديدة لسياسة الافراد من أجل التنمية,"عبد العزيز, صلاح الدين",N/A,مركز البحوث الإدارية,1978,71,القانون الإداري,21049
35/73,مشاكل السلك الوظيفي في الخدمة المدنية دراسة تطبيقية مقارنة عن تقرير مكتب العمل الدولي,"عبد العزيز, محمد صلاح الدين",N/A,المنظمة العربية للعلوم الإدارية,1977,107,القانون الإداري,21050
371/27,مرجع في التعليم البيئي لمراحل التعليم العام,"عبد العزيز, مصطفى",تونس,المنظمة العربية للتربية والتقافة والعلوم,1976,444,التربية والتعليم,21051
297.914/02,الإسلام والتربية الصحية,"عبد العظيم البنا, عائدة",الرياض,مكتب التربية العربي لدول الخليج,1983,174,الإسلام وعلوم التربية,21052
82-1_أن/23,آثار ابن زيدون في الأدب العربي,"عبد العظيم, علي",الرباط,N/A,1975,32,الأدب الأندلسي,21053
159.9/30,مقدمة في علم النفس العام,"عبد الغفار, عبد السلام",بيروت,دار النهضة العربية,N/A,343,علم النفس,21054
1/35,تطور الجدل بعد هيكل. الكتاب الأول: جدل الفكر,"عبد الفتاح إمام, إمام",بيروت,دار التنوير للطباعة والنشر,1984,225,فلسفة,21055
82-194/02,القيم الروحية في الشعر العربي قديمه وحديثه,"عبد الفتاح ملحس, ثريا",بيروت,دار الكتاب اللبناني,N/A,430,الشعر الديني,21056
380/01,إدارة التسويق,"عبد الفتاح, محمد سعيد",بيروت,الدار الجامعية,1990,640,التجارة,21057
82_55/03 ج1,قصة الأدب الفارسي,"عبد القادر, حامد",القاهرة,مكتبة نهضة مصر,1951,333,الأدب الفارسي,21058
35.08_620/01,العمدة في أحكام تأديب العاملين في الحكومة والقطاع العام,"عبد القادر, عبد الله",N/A,دار الكتب القومية,1989,417,القانون الإداري: الأفراد,21059
1:297/57,التأويل والمفارقة: نحو تأصيل فلسفي للنظر السياسي العربي,"عبد اللطيف, كمال",بيروت,المركز الثقافي العربي,1987,151,فلسفة: الفكر العربي الحديث,21060
61_927/06,الجامع لمفردات الأدوية والأغدية,"عبد الله ابن أحمد الأندلسي, ضياء الدين",بيروت,دار صادر,N/A,211,الطب العربي,21061
330.191.6/118,إتفاقية الجات ودولة الكويت: رؤى علمية,عبد الله العمر فؤاد,الكويت,بنك الكويت الصناعي,1999,54,الإقتصاد العالمي,21062
330.191.6/118,اتفاقيات الجات ودولة الكويت: رؤية علمية,"عبد الله العمر, فؤاد",الكويت,بنك الكويت الصناعي,1999,54,الاقتصاد العالمي,21063
380/03,دور إدارة التسويق في دعم التكامل الإقتصادي العربي,"عبد الله, أحمد محمد أحمد",القاهرة,جامعة الدول العربية,1978,94,التجارة,21064
297.821.73/01,الجذور التاريخية للنصيرية العلوية,"عبد الله, الحسني",القاهرة,دار الإعتصام,1980,174,النصيرية,21065
1/54,نظرية الثورة من ابن خلدون إلى ماركس,"عبد الله, الطاهر",بيروت,المؤسسة العربية للدراسات والنشر,1979,120,فلسفة,21066
961.1/02,"الحركة الوطنية التونسية: رؤية شعبية قومية جديدة, 1830-1956","عبد الله, الطاهر",N/A,N/A,1975,290,تاريخ تونس,21067
631/03,تعبئة وتخزين الفاكهة والخضار. الجزء العلمي,"عبد الله, حسن",دمشق,N/A,1991,189,الهندسة الزراعية,21068
336.2_64/07,الإصلاح الضريبي المغربي العام وبرنامج التقويم الهيكلي,"عبد الله, دمومات",البيضاء,مطابع إفريقيا الشرق,1995,170,الضرائب,21069
32/54,التبعية والتبعية السياسية,"عبد الله, عبد الخالق",بيروت,المؤسسة الجامعية للدراسات والنشر,1986,125,علوم سياسية,21070
51.2/01,نظم العد,"عبد اللي, هاشم",حلب,مديرية الكتب والمطبوعات الجامعية,1992,260,الاعداد والانظمة العددية,21071
51/15,الرياضيات العامة: سلاسل وتحليل عددي,"عبد اللي, هاشم",حلب,مديرية الكتب والمطبوعات الجامعية,1990,351,الرياضيات,21072
51/19,الطرق الرياضية للفيزياء,"عبد اللي, هاشم",حلب,مديرية الكتب والمطبوعات الجامعية,1991,378,الرياضيات,21073
517/05,التخليل العددي,"عبد اللي, هاشم",حلب,مديرية الكتب والمطبوعات الجامعية,1991,294,التحليل,21074
517/06,التحليل العددي,"عبد اللي, هاشم",حلب,مديرية الكتب والمطبوعات الجامعية,1990,307,التحليل,21075
681.3/05,برمجة الفورتران ومبادىء بعض اللغات الاخرى,"عبد اللي, هاشم",حلب,مديرية الكتب والمطبوعات الجامعية,1990,689,اعلاميات,21076
1_927/26,الفكر العربي في معركة النهضة,"عبد المالك, أنور",بيروت,دار الآداب,1978,240,فلسفة: الفكر العربي الحديث,21077
37_73/02,أمريكا عام 2000 استراتجية للتربية,"عبد المجود, محمد عزت",الدوحة,مركز البحوث التربوية جامعة قطر,N/A,175,التربية والتعليم,21078
37/28,"القصة في التربية: أصولها النفسية, تطورها مادتها وطريقة سردها لمدرسي المرحلة الإبتدائية","عبد المجيد, عبد العزيز",القاهرة,دار المعارف,1976,183,التربية والتعليم,21079
82.09/108 ج1,مبادئ النقد ونظرية الأدب. قسم الأول: مبادئ النقد,"عبد المجيد, عبد اللطيف",دمشق,منشورات جامعة البعث,1991,185,النقد الأدبي,21080
82-1_حد/48,في الشعر العربي الحديث وتحليله,"عبد المجيد, عبد اللطيف",N/A,مديرية الكتب والمطبوعات الجامعية,1991,311,الادب الحديث,21081
030.1:343.2/01,الموسوعة الجنائية. الجزء الأول: إتجار - إشتراك,"عبد الملك, جندي",بيروت,دار إحياء التراث العربي,1976,757,الموسوعة الجنائية,21082
030.1:343.2/02,الموسوعة الجنائية. الجزء الثاني: إضراب - تهديد,"عبد الملك, جندي",بيروت,دار إحياء التراث العربي,1976,768,الموسوعة الجنائية,21083
030.1:343.2/03,الموسوعة الجنائية.الجزء الثالث: جرائم - ربا فاحش,"عبد الملك, جندي",بيروت,دار إحياء التراث العربي,N/A,772,الموسوعة الجنائية,21084
030.1:343.2/04,الموسوعة الجنائية. الجزء الرابع: رشوة - ظروف الجريمة,"عبد الملك, جندي",بيروت,دار إحياء التراث العربي,1941,699,الموسوعة الجنائية,21085
030.1:343.2/05,الموسوعة الجنائية. الجزء الخامس: عقوبة - قتل وجرح وضرب,"عبد الملك, جندي",بيروت,دار إحياء التراث العربي,N/A,871,الموسوعة الجنائية,21086
030.1:343.2/08,الموسوعة الجنائية. الجزء الثالث: جرائم - ربا فاحش,"عبد الملك, جندي",بيروت,دار المؤلفات القانونية,N/A,772,الموسوعة الجنائية,21089
35/09,التنظيم وتبسيط الاجراءات,"عبد المنعم, عزت صبحي",N/A,مطابع سجل العرب,1977,78,القانون الإداري,21092
347.96/03,حكم الاسلام في القضاء الشعبي,"عبد المنعم, فؤاد",N/A,N/A,1973,141,التنظيم القضائي,21093
37.014/28,تطوير التعليم الثانوي لخدمة أغراض التنمية في دول الخليج العربية,"عبد الموجود, محمد عزت",الرياض,مكتب التربية العربي لدول الخليج,2001,80,سياسة التربية,21094
336.2/06,التشريع الضريبى المغربي,"عبد المولى, السيد",الرباط,مكتبة الطالب,1979,392,الضرائب,21095
30/06,ابن خلدون وعلوم المجتمع,"عبد المولى, محمود",تونس,الدار العربية للكتاب,1980,126,علم الاجتماع: الفكر,21096
301.188.1/01,علم الإجتماع في ميدان العمل الصناعي,"عبد المولى, محمود",طرابلس,الدار العربية,1984,297,علم الإجتماع الصناعي,21097
330.191.6/12,العالم الثالث ونمو التخلف,"عبد المولى, محمود",تونس,الدار العربية للكتاب,1982,228,الاقتصاد العالمي,21098
03/09,المعجم الأدبي,"عبد النور, جبور",بيروت,دار العلم للملايين,1979,658,المعجم اللغوي,21099
03/90,معجم عبد النور الوسيط: عربي - فرنسي,"عبد النور, جبور",بيروت,دار العلم للملايين,1984,950,المعجم: عربي - فرنسي,21100
03/91,معجم عبد النور الحديث,"عبد النور, جبور",بيروت,دار العلم للملايين,1983,1126,المعجم: عربي - فرنسي,21101
159.922.7/19,اللعب والمحاكاة وأثرهما في حياة الإنسان,"عبد الواحد وافي, علي",القاهرة,دار نهضة مصر,1985,157,علم النفس الطفل : اللعب,21102
62-1/02,ديناميك الآلات,"عبد الواحد, محمد نجيب",سوريا,جامعة حلب,1990,272,خصيات عامة للآلات,21103
297.05/01,"المجتمع الإسلامي : أهدافه ودعائمه, أوضاعه وخصائصه","عبد الواحد, مصطفى",بيروت,دار الجيل,1974,296,المجتمع الإسلامي,21104
618/01,صحة الأم والطفل: كتاب مساعد لطلبة الصف الرابع,"عبد راضي الدراجي, سعاد",بغداد,جامعة بغداد,1983,240,علم أمراض النساء,21105
398.2/01,مدخل لدراسة الفولكلور والأسا طير العربية,"عبدالحكيم, شوقي",بيروت,دار ابن خلدون,1978,246,الأسطورة,21106
297.126/04,التفسير البياني للقرآن الكريم,"عبدالرحمن, عائشة بنت الشاطئ",القاهرة,دار المعارف,1974,218,القرآن : توضيح البيان,21107
801.5/48,الجملة في الشعر العربي,"عبداللطيف, محمد حماسة",القاهرة,مكتبة المدني,1990,238,البلاغة العربية,21108
159.924/01,العلاقة المتبادلة بين العبقرية والجنون,"عبده, سمير",بيروت,منشورات دار الآفاق الجديدة,1983,75,علم النفس: العبقرية,21109
159.964.2/09,مشكلات الانسان في التحليل النفسي,"عبده, سمير",بيروت,دار الآفاق الجديدة,1982,118,التحليل النفسي,21110
396_927/06,المرأة العربية بين التخلف و التحرر,"عبده, سمير",بيروت,دار الآفاق و الجديدة,1980,143,المرأة,21111
501/01,الإنسان العربي والعلم,"عبده, سمير",بيروت,دار الآفاق الجديدة,1983,112,العلوم,21112
66.0/05,العرب والتكنولوجيا,"عبده, سمير",بيروت,دار الآفاق الجديدة,1981,125,التكنولوجيا,21113
297.15/08,الإقتصاد في القرآن و السنة,"عبده, عيسى",القاهرة,دار المعارف,1976,147,القرآن : دراسات,21114
297.312/06,رسالة التوحيد,"عبده, محمد",القاهرة,دار المعارف,1971,200,التوحيد والإيمان,21115
34_64/03,القوانين المغربية مجموعات متحركة,"عبود رشيد, عبود",N/A,السلسلة السنوية للاجتهاد القضائي,N/A,N/A,النظرية العامة للقانون,21116
159.9/64,مبادىء علم النفس والإجتماع,"عبود كبة, جوزف",حلب,مديرية الكتب والمطبوعات الجامعية,1989,206,علم النفس,21117
611.9/06 ج3,التشريع الناحي العملي: الجزء الثالث,عبود' معين,دمشق,جامعة دمشق,1992,335,علم التشريح,21118
338.984/45 ج2,إدارة العمليات : النظم والأساليب والإتجاهات الحديثة,"عبود نجم,نجم",الرياض,معهد الإدارة العامة,2001,448,التخطيط الإقتصادي,21119
338.984/45 ج1,إدارة العمليات: النظم والأساليب والإتجاهات الحديثة.,"عبود نجم, نجم",الرياض,معهد الإدارة العامة,2001,463,التخطيط الإقتصادي,21120
34_64/02,القوانين المغربية مجموعات متحركة,"عبود, رشيد عبود",N/A,السلسلة السنوية للاجتهاد القضائي,N/A,405,النظرية العامة للقانون,21121
82.091/80,الأدب المقارن: مدخل نظري ودراسات تطبيقية,"عبود, عبده",دمشق,منشورات جامعة البعث,1992,472,دراسة أدبية مقارنة,21125
331_64/04,القوانين المغربية مجموعات متحركة,"عبود, عبود رشيد",N/A,N/A,N/A,395,القانون الاجتماعي,21126
621.397/01,أسس خندسة التلفزيون,"عبود, عصام",دمشق,مديرية الكتب الجامعية,1992,N/A,هندسة التلفزيون,21138
82_091/29,أدب العرب : مختصر تاريخ نشأته وتطوره وسير مشاهير رجاله وخطوط اولى من صورهم,"عبود, مارون",بيروت,دار مارون عبود,1968,528,تاريخ الأدب العربي,21139
611.9/11,موجز علم التشريع,"عبود, معين",دمشق,جامعة دمشق,1992,224,علم التشريح,21140
331_64/05,دروس في القانون الاجتماعي,"عبود, موسى",البيضاء,مطبعة النجاح الجديدة,1987,394,مصلحة الشغل,21141
336.71/02,الكفالات البنكية في المملكة العربية السعودية.(دراسة مقارنة),"عبوده, عبد المجيد محمد",السعودية,معهد الادارة العامة,1961,222,الابناك,21142
03:008/02,معجم الحضارات السامية,"عبودي, هنري, س,",طرابلس,بروس برس,1991,1029,المعجم الحضاري,21143
956.96/01,فلسطين قبل الضياع: قراءة جديدة في المصادر البريطانية,"عبوشي, واصف",لندن,رياض الرئيس للكتب والنشر,1985,386,فلسطين,21144
343/02,السببية الجنائية بين الفقه والقضاء,عبيد رءوف,القاهرة,مطبعة استقلال عبيد,1984,472,القانون الجنائي,21145
82.091/41,ذكرى الشاعرين : حافظ إبراهيم وأحمد وشوقي : دراسات ومراث ومقارنات,"عبيد, أحمد",بيروت,عالم الكتب,1985,683,دراسة أدبية مقارنة,21146
62-34/01,القياسات والتحكم الآلي,"عبيد, سيمون",دمشق,جامعة دمشق,1991,620,الهندسة الميكانيكية: التحكم الآلي,21147
338.924/10,التنظيم الصناعي وإدارة الإنتاج,"عبيد, عاطف محمد",بيروت,دار النهضة العربية,1971,363,التصنيع,21148
159.922.7/16,التربية النفسية للأطفال,"عبيد, مهدي",بيروت,دار القلم,1982,153,علم النفس الطفل,21149
576.8/08,الجراتيم والطفيليات: علم الجراثيم,"عبيد, ميخائيل",دمشق,جامعة دمشق,1992,263,علم الاحياء المجهرية,21150
616-008.87/05,علم الجراثيم - الجزء النظري,"عبيد, ميخائيل",دمشق,جامعة دمشق,1992,695,الميكروبات,21151
631/09,الأسيجة ومصدات الرياح,"عبيدو, محمد",دمشق,N/A,1991,271,الهندسة الزراعية,21152
297.429/06,"الحج والعمرة في الفقه الإسلامي : يدرس أحكام مناسك الحج والعمرة, والمذاهب الفقهية فيها على ضوء الكتاب والسنة وبيان كيفية آداء المناسك وأدعيتها المأتورة وزيارة النبي (ص)","عتر, نور الدين",بيروت,مؤسسة الرسالة,N/A,314,الحج,21153
801.5/34,علم المعاني,"عتيق, عبد العزيز",بيروت,دار النهضة العربية,1985,224,البلاغة العربية : علم المعاني,21154
801.5/35,علم البيان,"عتيق, عبد العزيز",بيروت,دار النهضة العربية,1974,207,البلاغة العربية : البيان,21155
801.5/37,علم البديع,"عتيق, عبد العزيز",بيروت,دار النهضة العربية,1974,236,البلاغة العربية : البديع,21156
801.5_091/03,في تاريخ البلاغة العربية,"عتيق, عبد العزيز",بيروت,دار النهضة العربية,1980,327,تاريخ البلاغة العربية,21157
801.56/15,المدخل إلى علم النحو والصرف,"عتيق, عبد العزيز",بيروت,دار النهضة العربية,1974,206,النحو العربي,21158
801.6/02,علم العروض والقافية,"عتيق, عبد العزيز",بيروت,دار النهضة العربية,1974,211,العروض,21159
82.09/13,تاريخ النقد الأدبي عند العرب,"عتيق, عبد العزيز",بيروت,دار النهضة العربية,1974,401,النقد الأدبي,21160
82-1_أن/46,الأدب العربي في الأندلس,"عتيق, عبد العزيز",بيروت,دار النهضة العربية,1976,502,الأدب الأندلسي,21161
575/02,الوراثة,"عثمان, أحمد",دمشق,مطبعة الروضة,1990,344,الوراثة,21162
61/35,البيولوجيا الخلوية,"عثمان, أحمد مصطفى",دمشق,مطبعة الاتحاد,1991,468,الطب,21163
611.9/10,التشريع المقارن للفقاريات,"عثمان, أحمد مصطفى",دمشق,جامعة دمشق,1991,384,علم التشريع,21164
611-013/02,علم الجنين,"عثمان, أحمد مصطفى",دمشق,جامعة دمشق,1992,181,علم الجنين,21165
